26.70 - 28291    - CREATE - ./simpledu, test, -b
53.48 - 28334    - RECV_PIPE - 0
53.64 - 28336    - CREATE - 
53.71 - 28336    - SEND_PIPE - 0
53.72 - 28336    - EXIT - 0
53.83 - 28334    - RECV_PIPE - 0
53.98 - 28337    - CREATE - 
54.05 - 28337    - SEND_PIPE - 0
54.07 - 28337    - EXIT - 0
54.18 - 28334    - RECV_PIPE - 0
54.30 - 28338    - CREATE - 
54.38 - 28338    - SEND_PIPE - 0
54.44 - 28338    - EXIT - 0
54.56 - 28334    - RECV_PIPE - 0
54.73 - 28339    - CREATE - 
54.80 - 28339    - SEND_PIPE - 0
54.81 - 28339    - EXIT - 0
54.92 - 28334    - RECV_PIPE - 0
55.04 - 28340    - CREATE - 
55.14 - 28340    - SEND_PIPE - 100066
55.15 - 28340    - EXIT - 0
55.26 - 28334    - RECV_PIPE - 100066
55.39 - 28341    - CREATE - 
55.48 - 28341    - SEND_PIPE - 67123
55.50 - 28341    - EXIT - 0
55.61 - 28334    - RECV_PIPE - 67123
55.75 - 28342    - CREATE - 
55.84 - 28342    - SEND_PIPE - 0
55.85 - 28342    - EXIT - 0
56.09 - 28334    - RECV_PIPE - 0
56.49 - 28343    - CREATE - 
56.64 - 28343    - SEND_PIPE - 0
56.67 - 28343    - EXIT - 0
57.09 - 28334    - RECV_PIPE - 0
57.21 - 28334    - SEND_PIPE - 3687671
57.26 - 28334    - EXIT - 0
57.62 - 28296    - RECV_PIPE - 3687671
57.87 - 28344    - CREATE - 
58.04 - 28344    - SEND_PIPE - 128924
58.07 - 28344    - EXIT - 0
58.49 - 28296    - RECV_PIPE - 128924
58.91 - 28345    - CREATE - 
59.17 - 28346    - CREATE - 
59.38 - 28346    - SEND_PIPE - 24401
59.40 - 28346    - EXIT - 0
59.62 - 28345    - RECV_PIPE - 24401
59.74 - 28345    - SEND_PIPE - 309440
59.78 - 28345    - EXIT - 0
60.11 - 28296    - RECV_PIPE - 309440
60.48 - 28347    - CREATE - 
60.61 - 28347    - SEND_PIPE - 23661
60.64 - 28347    - EXIT - 0
60.96 - 28296    - RECV_PIPE - 23661
61.21 - 28348    - CREATE - 
61.59 - 28348    - SEND_PIPE - 226493
61.64 - 28348    - EXIT - 0
61.91 - 28296    - RECV_PIPE - 226493
62.27 - 28349    - CREATE - 
62.51 - 28349    - SEND_PIPE - 30408
62.55 - 28349    - EXIT - 0
62.88 - 28296    - RECV_PIPE - 30408
63.24 - 28350    - CREATE - 
63.36 - 28350    - SEND_PIPE - 36931
63.39 - 28350    - EXIT - 0
63.66 - 28296    - RECV_PIPE - 36931
63.86 - 28351    - CREATE - 
64.00 - 28351    - SEND_PIPE - 168218
64.01 - 28351    - EXIT - 0
64.15 - 28296    - RECV_PIPE - 168218
64.31 - 28352    - CREATE - 
64.37 - 28352    - SEND_PIPE - 4945
64.39 - 28352    - EXIT - 0
64.51 - 28296    - RECV_PIPE - 4945
64.65 - 28353    - CREATE - 
64.78 - 28353    - SEND_PIPE - 303496
64.80 - 28353    - EXIT - 0
64.92 - 28296    - RECV_PIPE - 303496
65.07 - 28354    - CREATE - 
65.14 - 28354    - SEND_PIPE - 0
65.15 - 28354    - EXIT - 0
65.28 - 28296    - RECV_PIPE - 0
65.47 - 28355    - CREATE - 
65.60 - 28355    - SEND_PIPE - 240074
65.62 - 28355    - EXIT - 0
65.74 - 28296    - RECV_PIPE - 240074
65.91 - 28356    - CREATE - 
66.24 - 28356    - SEND_PIPE - 1686364
66.27 - 28356    - EXIT - 0
66.49 - 28296    - RECV_PIPE - 1686364
66.80 - 28357    - CREATE - 
66.90 - 28357    - SEND_PIPE - 2489
66.92 - 28357    - EXIT - 0
67.10 - 28296    - RECV_PIPE - 2489
67.35 - 28358    - CREATE - 
67.47 - 28358    - SEND_PIPE - 117519
67.49 - 28358    - EXIT - 0
67.81 - 28296    - RECV_PIPE - 117519
68.20 - 28359    - CREATE - 
68.33 - 28359    - SEND_PIPE - 14895
68.36 - 28359    - EXIT - 0
68.61 - 28296    - RECV_PIPE - 14895
68.82 - 28360    - CREATE - 
68.91 - 28360    - SEND_PIPE - 44204
68.93 - 28360    - EXIT - 0
69.13 - 28296    - RECV_PIPE - 44204
69.39 - 28361    - CREATE - 
69.48 - 28361    - SEND_PIPE - 6286
69.49 - 28361    - EXIT - 0
69.66 - 28296    - RECV_PIPE - 6286
69.75 - 28296    - SEND_PIPE - 13638508
69.84 - 28296    - EXIT - 0
70.07 - 28295    - RECV_PIPE - 13638508
70.15 - 28295    - SEND_PIPE - 13642604
70.18 - 28295    - EXIT - 0
70.37 - 28294    - RECV_PIPE - 13642604
70.61 - 28362    - CREATE - 
70.69 - 28362    - SEND_PIPE - 882
70.71 - 28362    - EXIT - 0
70.86 - 28294    - RECV_PIPE - 882
