26.70 - 28291    - CREATE - ./simpledu, test, -b
126.53 - 28437    - RECV_PIPE - 517
126.62 - 28437    - SEND_PIPE - 179015
126.64 - 28437    - EXIT - 0
126.97 - 28436    - RECV_PIPE - 179015
127.40 - 28469    - CREATE - 
127.54 - 28469    - SEND_PIPE - 0
127.57 - 28469    - EXIT - 0
127.86 - 28436    - RECV_PIPE - 0
127.98 - 28436    - SEND_PIPE - 234317
128.00 - 28436    - EXIT - 0
128.47 - 28434    - RECV_PIPE - 234317
128.62 - 28434    - SEND_PIPE - 1846066
128.66 - 28434    - EXIT - 0
129.02 - 28294    - RECV_PIPE - 1846066
129.30 - 28470    - CREATE - 
129.66 - 28471    - CREATE - 
129.88 - 28472    - CREATE - 
130.18 - 28473    - CREATE - 
130.26 - 28473    - SEND_PIPE - 4116
130.29 - 28473    - EXIT - 0
130.65 - 28472    - RECV_PIPE - 4116
131.00 - 28474    - CREATE - 
131.14 - 28474    - SEND_PIPE - 4115
131.17 - 28474    - EXIT - 0
131.56 - 28472    - RECV_PIPE - 4115
131.89 - 28475    - CREATE - 
132.07 - 28475    - SEND_PIPE - 1669
132.10 - 28475    - EXIT - 0
132.37 - 28472    - RECV_PIPE - 1669
132.53 - 28476    - CREATE - 
132.62 - 28476    - SEND_PIPE - 4115
132.64 - 28476    - EXIT - 0
132.80 - 28472    - RECV_PIPE - 4115
132.93 - 28477    - CREATE - 
133.01 - 28477    - SEND_PIPE - 1129
133.03 - 28477    - EXIT - 0
133.16 - 28472    - RECV_PIPE - 1129
133.34 - 28478    - CREATE - 
133.43 - 28478    - SEND_PIPE - 309
133.45 - 28478    - EXIT - 0
133.65 - 28472    - RECV_PIPE - 309
133.86 - 28479    - CREATE - 
133.95 - 28479    - SEND_PIPE - 14117
133.97 - 28479    - EXIT - 0
134.23 - 28472    - RECV_PIPE - 14117
134.62 - 28480    - CREATE - 
134.75 - 28480    - SEND_PIPE - 14124
134.77 - 28480    - EXIT - 0
135.02 - 28472    - RECV_PIPE - 14124
135.41 - 28481    - CREATE - 
135.51 - 28481    - SEND_PIPE - 4116
135.53 - 28481    - EXIT - 0
135.74 - 28472    - RECV_PIPE - 4116
135.97 - 28482    - CREATE - 
136.10 - 28482    - SEND_PIPE - 8230
136.12 - 28482    - EXIT - 0
136.36 - 28472    - RECV_PIPE - 8230
136.56 - 28483    - CREATE - 
136.67 - 28483    - SEND_PIPE - 1223
136.69 - 28483    - EXIT - 0
136.87 - 28472    - RECV_PIPE - 1223
137.12 - 28484    - CREATE - 
137.23 - 28484    - SEND_PIPE - 4115
137.25 - 28484    - EXIT - 0
137.40 - 28472    - RECV_PIPE - 4115
137.54 - 28485    - CREATE - 
137.60 - 28485    - SEND_PIPE - 15564
137.62 - 28485    - EXIT - 0
137.75 - 28472    - RECV_PIPE - 15564
137.88 - 28486    - CREATE - 
137.95 - 28486    - SEND_PIPE - 8232
137.96 - 28486    - EXIT - 0
138.08 - 28472    - RECV_PIPE - 8232
138.22 - 28487    - CREATE - 
138.29 - 28487    - SEND_PIPE - 4116
138.30 - 28487    - EXIT - 0
138.51 - 28472    - RECV_PIPE - 4116
138.66 - 28488    - CREATE - 
138.73 - 28488    - SEND_PIPE - 4115
138.75 - 28488    - EXIT - 0
138.90 - 28472    - RECV_PIPE - 4115
139.03 - 28489    - CREATE - 
139.12 - 28489    - SEND_PIPE - 1674
139.14 - 28489    - EXIT - 0
139.39 - 28472    - RECV_PIPE - 1674
139.67 - 28490    - CREATE - 
139.81 - 28490    - SEND_PIPE - 10674
139.83 - 28490    - EXIT - 0
140.19 - 28472    - RECV_PIPE - 10674
140.54 - 28491    - CREATE - 
140.65 - 28491    - SEND_PIPE - 25
140.67 - 28491    - EXIT - 0
140.87 - 28472    - RECV_PIPE - 25
141.09 - 28492    - CREATE - 
141.18 - 28492    - SEND_PIPE - 3074
141.20 - 28492    - EXIT - 0
141.59 - 28472    - RECV_PIPE - 3074
141.98 - 28493    - CREATE - 
142.08 - 28493    - SEND_PIPE - 4115
142.10 - 28493    - EXIT - 0
142.30 - 28472    - RECV_PIPE - 4115
142.53 - 28494    - CREATE - 
142.61 - 28494    - SEND_PIPE - 966618
142.63 - 28494    - EXIT - 0
142.88 - 28472    - RECV_PIPE - 966618
143.17 - 28495    - CREATE - 
143.31 - 28495    - SEND_PIPE - 14124
143.34 - 28495    - EXIT - 0
143.67 - 28472    - RECV_PIPE - 14124
143.94 - 28496    - CREATE - 
144.04 - 28496    - SEND_PIPE - 495
144.07 - 28496    - EXIT - 0
144.29 - 28472    - RECV_PIPE - 495
144.51 - 28497    - CREATE - 
144.61 - 28497    - SEND_PIPE - 4115
144.63 - 28497    - EXIT - 0
144.91 - 28472    - RECV_PIPE - 4115
145.15 - 28498    - CREATE - 
145.26 - 28498    - SEND_PIPE - 10010
145.28 - 28498    - EXIT - 0
145.57 - 28472    - RECV_PIPE - 10010
145.82 - 28499    - CREATE - 
145.91 - 28499    - SEND_PIPE - 9994
145.93 - 28499    - EXIT - 0
146.15 - 28472    - RECV_PIPE - 9994
146.49 - 28500    - CREATE - 
146.63 - 28500    - SEND_PIPE - 10009
146.64 - 28500    - EXIT - 0
146.85 - 28472    - RECV_PIPE - 10009
147.00 - 28501    - CREATE - 
147.08 - 28501    - SEND_PIPE - 14124
147.09 - 28501    - EXIT - 0
147.22 - 28472    - RECV_PIPE - 14124
147.38 - 28502    - CREATE - 
147.46 - 28502    - SEND_PIPE - 5558
147.47 - 28502    - EXIT - 0
147.58 - 28472    - RECV_PIPE - 5558
147.73 - 28503    - CREATE - 
147.79 - 28503    - SEND_PIPE - 4115
147.81 - 28503    - EXIT - 0
147.91 - 28472    - RECV_PIPE - 4115
148.04 - 28504    - CREATE - 
148.12 - 28504    - SEND_PIPE - 8508
148.13 - 28504    - EXIT - 0
148.25 - 28472    - RECV_PIPE - 8508
148.38 - 28505    - CREATE - 
148.46 - 28505    - SEND_PIPE - 9124
148.48 - 28505    - EXIT - 0
148.60 - 28472    - RECV_PIPE - 9124
148.73 - 28506    - CREATE - 
148.80 - 28506    - SEND_PIPE - 6350
148.82 - 28506    - EXIT - 0
148.98 - 28472    - RECV_PIPE - 6350
149.36 - 28507    - CREATE - 
149.44 - 28507    - SEND_PIPE - 565
149.45 - 28507    - EXIT - 0
149.61 - 28472    - RECV_PIPE - 565
149.78 - 28508    - CREATE - 
149.88 - 28508    - SEND_PIPE - 14108
149.89 - 28508    - EXIT - 0
150.05 - 28472    - RECV_PIPE - 14108
150.31 - 28509    - CREATE - 
150.51 - 28509    - SEND_PIPE - 8235
150.54 - 28509    - EXIT - 0
150.78 - 28472    - RECV_PIPE - 8235
150.98 - 28510    - CREATE - 
151.10 - 28510    - SEND_PIPE - 4115
151.13 - 28510    - EXIT - 0
151.37 - 28472    - RECV_PIPE - 4115
151.58 - 28511    - CREATE - 
151.72 - 28511    - SEND_PIPE - 19977
151.73 - 28511    - EXIT - 0
151.94 - 28472    - RECV_PIPE - 19977
152.19 - 28512    - CREATE - 
152.31 - 28512    - SEND_PIPE - 4115
152.34 - 28512    - EXIT - 0
152.59 - 28472    - RECV_PIPE - 4115
152.84 - 28513    - CREATE - 
152.92 - 28513    - SEND_PIPE - 4115
152.94 - 28513    - EXIT - 0
153.09 - 28472    - RECV_PIPE - 4115
153.27 - 28514    - CREATE - 
153.36 - 28514    - SEND_PIPE - 4115
153.38 - 28514    - EXIT - 0
153.53 - 28472    - RECV_PIPE - 4115
153.68 - 28515    - CREATE - 
153.77 - 28515    - SEND_PIPE - 15295
153.78 - 28515    - EXIT - 0
153.96 - 28472    - RECV_PIPE - 15295
154.11 - 28516    - CREATE - 
154.19 - 28516    - SEND_PIPE - 8231
154.21 - 28516    - EXIT - 0
154.33 - 28472    - RECV_PIPE - 8231
154.54 - 28517    - CREATE - 
154.62 - 28517    - SEND_PIPE - 5791
154.64 - 28517    - EXIT - 0
154.75 - 28472    - RECV_PIPE - 5791
154.87 - 28518    - CREATE - 
154.95 - 28518    - SEND_PIPE - 4116
154.97 - 28518    - EXIT - 0
155.08 - 28472    - RECV_PIPE - 4116
155.23 - 28519    - CREATE - 
155.32 - 28519    - SEND_PIPE - 4115
155.34 - 28519    - EXIT - 0
155.48 - 28472    - RECV_PIPE - 4115
155.62 - 28520    - CREATE - 
155.74 - 28520    - SEND_PIPE - 6069
155.77 - 28520    - EXIT - 0
156.01 - 28472    - RECV_PIPE - 6069
156.30 - 28521    - CREATE - 
156.47 - 28521    - SEND_PIPE - 4115
156.50 - 28521    - EXIT - 0
156.90 - 28472    - RECV_PIPE - 4115
157.19 - 28522    - CREATE - 
157.29 - 28522    - SEND_PIPE - 8237
157.31 - 28522    - EXIT - 0
157.52 - 28472    - RECV_PIPE - 8237
157.74 - 28523    - CREATE - 
157.84 - 28523    - SEND_PIPE - 1417
157.86 - 28523    - EXIT - 0
158.13 - 28472    - RECV_PIPE - 1417
158.58 - 28524    - CREATE - 
158.68 - 28524    - SEND_PIPE - 14129
158.70 - 28524    - EXIT - 0
158.85 - 28472    - RECV_PIPE - 14129
159.01 - 28525    - CREATE - 
159.09 - 28525    - SEND_PIPE - 14124
159.10 - 28525    - EXIT - 0
159.24 - 28472    - RECV_PIPE - 14124
159.38 - 28526    - CREATE - 
159.45 - 28526    - SEND_PIPE - 8230
159.47 - 28526    - EXIT - 0
159.58 - 28472    - RECV_PIPE - 8230
159.78 - 28527    - CREATE - 
159.90 - 28527    - SEND_PIPE - 8233
159.91 - 28527    - EXIT - 0
160.12 - 28472    - RECV_PIPE - 8233
160.39 - 28528    - CREATE - 
160.50 - 28528    - SEND_PIPE - 4115
160.52 - 28528    - EXIT - 0
160.73 - 28472    - RECV_PIPE - 4115
160.94 - 28529    - CREATE - 
161.05 - 28529    - SEND_PIPE - 33706
161.08 - 28529    - EXIT - 0
161.33 - 28472    - RECV_PIPE - 33706
161.58 - 28530    - CREATE - 
161.69 - 28530    - SEND_PIPE - 4115
161.72 - 28530    - EXIT - 0
162.04 - 28472    - RECV_PIPE - 4115
162.34 - 28531    - CREATE - 
162.58 - 28531    - SEND_PIPE - 10009
162.60 - 28531    - EXIT - 0
162.91 - 28472    - RECV_PIPE - 10009
163.19 - 28532    - CREATE - 
163.29 - 28532    - SEND_PIPE - 4116
163.30 - 28532    - EXIT - 0
163.55 - 28472    - RECV_PIPE - 4116
163.76 - 28533    - CREATE - 
163.84 - 28533    - SEND_PIPE - 4201
163.86 - 28533    - EXIT - 0
164.00 - 28472    - RECV_PIPE - 4201
164.13 - 28534    - CREATE - 
164.21 - 28534    - SEND_PIPE - 12346
164.22 - 28534    - EXIT - 0
164.35 - 28472    - RECV_PIPE - 12346
164.47 - 28535    - CREATE - 
164.54 - 28535    - SEND_PIPE - 931
164.56 - 28535    - EXIT - 0
164.68 - 28472    - RECV_PIPE - 931
164.83 - 28536    - CREATE - 
164.91 - 28536    - SEND_PIPE - 4115
164.93 - 28536    - EXIT - 0
165.06 - 28472    - RECV_PIPE - 4115
165.19 - 28537    - CREATE - 
165.27 - 28537    - SEND_PIPE - 8221
165.28 - 28537    - EXIT - 0
165.41 - 28472    - RECV_PIPE - 8221
165.55 - 28538    - CREATE - 
165.63 - 28538    - SEND_PIPE - 10009
165.65 - 28538    - EXIT - 0
165.83 - 28472    - RECV_PIPE - 10009
165.99 - 28539    - CREATE - 
166.07 - 28539    - SEND_PIPE - 4115
166.09 - 28539    - EXIT - 0
166.23 - 28472    - RECV_PIPE - 4115
166.37 - 28540    - CREATE - 
166.50 - 28540    - SEND_PIPE - 4115
166.51 - 28540    - EXIT - 0
166.66 - 28472    - RECV_PIPE - 4115
166.84 - 28541    - CREATE - 
166.93 - 28541    - SEND_PIPE - 8234
166.95 - 28541    - EXIT - 0
167.10 - 28472    - RECV_PIPE - 8234
167.26 - 28542    - CREATE - 
167.34 - 28542    - SEND_PIPE - 9993
167.36 - 28542    - EXIT - 0
167.59 - 28472    - RECV_PIPE - 9993
167.84 - 28543    - CREATE - 
167.93 - 28543    - SEND_PIPE - 8231
167.95 - 28543    - EXIT - 0
168.13 - 28472    - RECV_PIPE - 8231
168.34 - 28544    - CREATE - 
168.43 - 28544    - SEND_PIPE - 4115
168.44 - 28544    - EXIT - 0
168.62 - 28472    - RECV_PIPE - 4115
168.80 - 28545    - CREATE - 
168.90 - 28545    - SEND_PIPE - 6384
168.91 - 28545    - EXIT - 0
169.09 - 28472    - RECV_PIPE - 6384
169.27 - 28546    - CREATE - 
169.34 - 28546    - SEND_PIPE - 4119
169.36 - 28546    - EXIT - 0
169.50 - 28472    - RECV_PIPE - 4119
169.64 - 28547    - CREATE - 
169.71 - 28547    - SEND_PIPE - 4115
169.72 - 28547    - EXIT - 0
169.88 - 28472    - RECV_PIPE - 4115
170.03 - 28548    - CREATE - 
170.09 - 28548    - SEND_PIPE - 4115
170.11 - 28548    - EXIT - 0
170.23 - 28472    - RECV_PIPE - 4115
170.35 - 28549    - CREATE - 
170.57 - 28549    - SEND_PIPE - 4116
170.59 - 28549    - EXIT - 0
170.71 - 28472    - RECV_PIPE - 4116
170.84 - 28550    - CREATE - 
170.92 - 28550    - SEND_PIPE - 550
170.93 - 28550    - EXIT - 0
171.06 - 28472    - RECV_PIPE - 550
171.18 - 28551    - CREATE - 
171.25 - 28551    - SEND_PIPE - 14108
171.26 - 28551    - EXIT - 0
171.38 - 28472    - RECV_PIPE - 14108
171.50 - 28552    - CREATE - 
171.56 - 28552    - SEND_PIPE - 9994
171.57 - 28552    - EXIT - 0
171.70 - 28472    - RECV_PIPE - 9994
171.82 - 28553    - CREATE - 
171.89 - 28553    - SEND_PIPE - 14108
171.90 - 28553    - EXIT - 0
172.03 - 28472    - RECV_PIPE - 14108
172.17 - 28554    - CREATE - 
172.26 - 28554    - SEND_PIPE - 8230
172.28 - 28554    - EXIT - 0
172.46 - 28472    - RECV_PIPE - 8230
172.86 - 28555    - CREATE - 
172.99 - 28555    - SEND_PIPE - 971
173.02 - 28555    - EXIT - 0
173.42 - 28472    - RECV_PIPE - 971
173.79 - 28556    - CREATE - 
173.91 - 28556    - SEND_PIPE - 907
173.93 - 28556    - EXIT - 0
174.15 - 28472    - RECV_PIPE - 907
174.37 - 28557    - CREATE - 
174.63 - 28557    - SEND_PIPE - 4115
174.65 - 28557    - EXIT - 0
174.99 - 28472    - RECV_PIPE - 4115
175.33 - 28558    - CREATE - 
175.42 - 28558    - SEND_PIPE - 14124
175.44 - 28558    - EXIT - 0
175.60 - 28472    - RECV_PIPE - 14124
175.77 - 28559    - CREATE - 
175.85 - 28559    - SEND_PIPE - 9993
175.86 - 28559    - EXIT - 0
175.98 - 28472    - RECV_PIPE - 9993
176.13 - 28560    - CREATE - 
176.20 - 28560    - SEND_PIPE - 4116
176.22 - 28560    - EXIT - 0
176.37 - 28472    - RECV_PIPE - 4116
176.60 - 28561    - CREATE - 
176.70 - 28561    - SEND_PIPE - 9994
176.72 - 28561    - EXIT - 0
176.98 - 28472    - RECV_PIPE - 9994
177.22 - 28562    - CREATE - 
177.33 - 28562    - SEND_PIPE - 4178
177.35 - 28562    - EXIT - 0
177.53 - 28472    - RECV_PIPE - 4178
177.73 - 28563    - CREATE - 
177.81 - 28563    - SEND_PIPE - 10009
177.83 - 28563    - EXIT - 0
178.06 - 28472    - RECV_PIPE - 10009
178.26 - 28564    - CREATE - 
178.34 - 28564    - SEND_PIPE - 9993
178.36 - 28564    - EXIT - 0
178.72 - 28472    - RECV_PIPE - 9993
179.03 - 28565    - CREATE - 
179.16 - 28565    - SEND_PIPE - 9993
179.18 - 28565    - EXIT - 0
179.43 - 28472    - RECV_PIPE - 9993
179.70 - 28566    - CREATE - 
179.78 - 28566    - SEND_PIPE - 4115
179.80 - 28566    - EXIT - 0
180.00 - 28472    - RECV_PIPE - 4115
180.22 - 28567    - CREATE - 
180.31 - 28567    - SEND_PIPE - 966620
180.33 - 28567    - EXIT - 0
180.50 - 28472    - RECV_PIPE - 966620
180.63 - 28568    - CREATE - 
180.71 - 28568    - SEND_PIPE - 4115
180.73 - 28568    - EXIT - 0
180.84 - 28472    - RECV_PIPE - 4115
180.88 - 28472    - SEND_PIPE - 2988543
180.90 - 28472    - EXIT - 0
181.05 - 28471    - RECV_PIPE - 2988543
181.19 - 28569    - CREATE - 
181.25 - 28569    - SEND_PIPE - 0
181.27 - 28569    - EXIT - 0
181.37 - 28471    - RECV_PIPE - 0
181.41 - 28471    - SEND_PIPE - 3111429
181.42 - 28471    - EXIT - 0
181.57 - 28470    - RECV_PIPE - 3111429
181.71 - 28570    - CREATE - 
182.02 - 28570    - SEND_PIPE - 2497351
182.05 - 28570    - EXIT - 0
182.15 - 28470    - RECV_PIPE - 2497351
182.23 - 28470    - SEND_PIPE - 12563226
182.25 - 28470    - EXIT - 0
182.38 - 28294    - RECV_PIPE - 12563226
182.56 - 28571    - CREATE - 
182.75 - 28572    - CREATE - 
182.92 - 28573    - CREATE - 
183.13 - 28574    - CREATE - 
183.21 - 28574    - SEND_PIPE - 9922
183.22 - 28574    - EXIT - 0
183.37 - 28573    - RECV_PIPE - 9922
183.52 - 28575    - CREATE - 
183.61 - 28575    - SEND_PIPE - 4665
183.63 - 28575    - EXIT - 0
183.79 - 28573    - RECV_PIPE - 4665
183.96 - 28576    - CREATE - 
184.04 - 28576    - SEND_PIPE - 567
184.07 - 28576    - EXIT - 0
184.21 - 28573    - RECV_PIPE - 567
184.36 - 28577    - CREATE - 
184.44 - 28577    - SEND_PIPE - 570
184.46 - 28577    - EXIT - 0
184.61 - 28573    - RECV_PIPE - 570
184.87 - 28578    - CREATE - 
184.96 - 28578    - SEND_PIPE - 4553
184.97 - 28578    - EXIT - 0
185.18 - 28573    - RECV_PIPE - 4553
185.33 - 28579    - CREATE - 
185.41 - 28579    - SEND_PIPE - 650
185.42 - 28579    - EXIT - 0
185.57 - 28573    - RECV_PIPE - 650
185.72 - 28580    - CREATE - 
185.81 - 28580    - SEND_PIPE - 454
185.83 - 28580    - EXIT - 0
186.02 - 28573    - RECV_PIPE - 454
186.26 - 28581    - CREATE - 
186.36 - 28581    - SEND_PIPE - 3312
186.45 - 28581    - EXIT - 0
186.75 - 28573    - RECV_PIPE - 3312
187.00 - 28582    - CREATE - 
187.07 - 28582    - SEND_PIPE - 2448
187.09 - 28582    - EXIT - 0
187.29 - 28573    - RECV_PIPE - 2448
187.46 - 28583    - CREATE - 
187.53 - 28583    - SEND_PIPE - 866
187.55 - 28583    - EXIT - 0
187.79 - 28573    - RECV_PIPE - 866
187.99 - 28584    - CREATE - 
188.09 - 28584    - SEND_PIPE - 1170
188.11 - 28584    - EXIT - 0
188.25 - 28573    - RECV_PIPE - 1170
188.45 - 28585    - CREATE - 
188.53 - 28585    - SEND_PIPE - 3888
188.55 - 28585    - EXIT - 0
188.80 - 28573    - RECV_PIPE - 3888
189.02 - 28586    - CREATE - 
189.12 - 28586    - SEND_PIPE - 549
189.14 - 28586    - EXIT - 0
189.38 - 28573    - RECV_PIPE - 549
189.61 - 28587    - CREATE - 
189.69 - 28587    - SEND_PIPE - 8731
189.71 - 28587    - EXIT - 0
189.86 - 28573    - RECV_PIPE - 8731
190.00 - 28588    - CREATE - 
190.07 - 28588    - SEND_PIPE - 693
190.09 - 28588    - EXIT - 0
190.23 - 28573    - RECV_PIPE - 693
190.50 - 28589    - CREATE - 
190.61 - 28589    - SEND_PIPE - 2509
190.63 - 28589    - EXIT - 0
190.89 - 28573    - RECV_PIPE - 2509
191.14 - 28590    - CREATE - 
191.26 - 28590    - SEND_PIPE - 439
191.28 - 28590    - EXIT - 0
191.65 - 28573    - RECV_PIPE - 439
191.93 - 28591    - CREATE - 
192.05 - 28591    - SEND_PIPE - 1655
192.07 - 28591    - EXIT - 0
192.37 - 28573    - RECV_PIPE - 1655
192.72 - 28592    - CREATE - 
192.88 - 28592    - SEND_PIPE - 451
192.91 - 28592    - EXIT - 0
193.24 - 28573    - RECV_PIPE - 451
193.56 - 28593    - CREATE - 
193.69 - 28593    - SEND_PIPE - 174971
193.72 - 28593    - EXIT - 0
194.07 - 28573    - RECV_PIPE - 174971
194.60 - 28594    - CREATE - 
194.73 - 28594    - SEND_PIPE - 3860
194.75 - 28594    - EXIT - 0
195.02 - 28573    - RECV_PIPE - 3860
195.28 - 28595    - CREATE - 
195.37 - 28595    - SEND_PIPE - 5250
195.39 - 28595    - EXIT - 0
195.62 - 28573    - RECV_PIPE - 5250
195.82 - 28596    - CREATE - 
195.90 - 28596    - SEND_PIPE - 752
195.92 - 28596    - EXIT - 0
196.15 - 28573    - RECV_PIPE - 752
196.21 - 28573    - SEND_PIPE - 327133
196.23 - 28573    - EXIT - 0
196.44 - 28572    - RECV_PIPE - 327133
196.67 - 28597    - CREATE - 
196.77 - 28597    - SEND_PIPE - 0
196.79 - 28597    - EXIT - 0
197.03 - 28572    - RECV_PIPE - 0
197.09 - 28572    - SEND_PIPE - 384483
197.11 - 28572    - EXIT - 0
197.35 - 28571    - RECV_PIPE - 384483
197.44 - 28571    - SEND_PIPE - 9247811
197.45 - 28571    - EXIT - 0
197.57 - 28294    - RECV_PIPE - 9247811
197.70 - 28598    - CREATE - 
197.89 - 28599    - CREATE - 
198.05 - 28600    - CREATE - 
198.99 - 28600    - SEND_PIPE - 2253174
199.01 - 28600    - EXIT - 0
199.16 - 28599    - RECV_PIPE - 2253174
199.29 - 28601    - CREATE - 
200.75 - 28602    - CREATE - 
201.79 - 28602    - SEND_PIPE - 332729
201.85 - 28602    - EXIT - 0
202.19 - 28601    - RECV_PIPE - 332729
202.70 - 28601    - SEND_PIPE - 5941367
202.76 - 28601    - EXIT - 0
202.98 - 28599    - RECV_PIPE - 5941367
203.05 - 28599    - SEND_PIPE - 10620163
203.07 - 28599    - EXIT - 0
203.27 - 28598    - RECV_PIPE - 10620163
203.44 - 28603    - CREATE - 
203.82 - 28604    - CREATE - 
204.23 - 28604    - SEND_PIPE - 2612345
204.27 - 28604    - EXIT - 0
204.49 - 28603    - RECV_PIPE - 2612345
204.63 - 28603    - SEND_PIPE - 30801095
204.65 - 28603    - EXIT - 0
204.83 - 28598    - RECV_PIPE - 30801095
204.96 - 28605    - CREATE - 
205.16 - 28606    - CREATE - 
205.52 - 28607    - CREATE - 
205.63 - 28607    - SEND_PIPE - 27063
205.65 - 28607    - EXIT - 0
205.87 - 28606    - RECV_PIPE - 27063
206.04 - 28608    - CREATE - 
206.14 - 28608    - SEND_PIPE - 5069
206.16 - 28608    - EXIT - 0
206.37 - 28606    - RECV_PIPE - 5069
206.95 - 28609    - CREATE - 
207.16 - 28609    - SEND_PIPE - 17938
207.19 - 28609    - EXIT - 0
207.55 - 28606    - RECV_PIPE - 17938
207.76 - 28610    - CREATE - 
207.86 - 28610    - SEND_PIPE - 24168
207.88 - 28610    - EXIT - 0
208.11 - 28606    - RECV_PIPE - 24168
208.46 - 28611    - CREATE - 
208.64 - 28611    - SEND_PIPE - 29805
208.68 - 28611    - EXIT - 0
209.04 - 28606    - RECV_PIPE - 29805
209.21 - 28612    - CREATE - 
209.29 - 28612    - SEND_PIPE - 32
209.31 - 28612    - EXIT - 0
209.57 - 28606    - RECV_PIPE - 32
209.83 - 28613    - CREATE - 
209.94 - 28613    - SEND_PIPE - 19262
209.96 - 28613    - EXIT - 0
210.25 - 28606    - RECV_PIPE - 19262
210.71 - 28614    - CREATE - 
210.82 - 28614    - SEND_PIPE - 58657
210.84 - 28614    - EXIT - 0
211.09 - 28606    - RECV_PIPE - 58657
211.31 - 28615    - CREATE - 
211.40 - 28615    - SEND_PIPE - 13693
211.42 - 28615    - EXIT - 0
211.61 - 28606    - RECV_PIPE - 13693
211.77 - 28616    - CREATE - 
211.85 - 28616    - SEND_PIPE - 1047
211.86 - 28616    - EXIT - 0
212.01 - 28606    - RECV_PIPE - 1047
212.16 - 28617    - CREATE - 
212.24 - 28617    - SEND_PIPE - 43826
212.26 - 28617    - EXIT - 0
212.41 - 28606    - RECV_PIPE - 43826
212.60 - 28618    - CREATE - 
212.69 - 28618    - SEND_PIPE - 8103
212.70 - 28618    - EXIT - 0
212.88 - 28606    - RECV_PIPE - 8103
213.07 - 28619    - CREATE - 
213.15 - 28619    - SEND_PIPE - 118
213.17 - 28619    - EXIT - 0
213.36 - 28606    - RECV_PIPE - 118
213.49 - 28620    - CREATE - 
213.57 - 28620    - SEND_PIPE - 116045
213.58 - 28620    - EXIT - 0
213.70 - 28606    - RECV_PIPE - 116045
213.82 - 28621    - CREATE - 
213.91 - 28621    - SEND_PIPE - 44372
213.92 - 28621    - EXIT - 0
214.03 - 28606    - RECV_PIPE - 44372
214.14 - 28622    - CREATE - 
214.21 - 28622    - SEND_PIPE - 17221
214.22 - 28622    - EXIT - 0
214.33 - 28606    - RECV_PIPE - 17221
214.49 - 28623    - CREATE - 
214.57 - 28623    - SEND_PIPE - 200729
214.59 - 28623    - EXIT - 0
214.70 - 28606    - RECV_PIPE - 200729
214.81 - 28624    - CREATE - 
214.89 - 28624    - SEND_PIPE - 33300
214.91 - 28624    - EXIT - 0
215.01 - 28606    - RECV_PIPE - 33300
215.17 - 28625    - CREATE - 
215.27 - 28625    - SEND_PIPE - 11600
215.28 - 28625    - EXIT - 0
215.42 - 28606    - RECV_PIPE - 11600
215.53 - 28626    - CREATE - 
215.61 - 28626    - SEND_PIPE - 70342
215.63 - 28626    - EXIT - 0
215.75 - 28606    - RECV_PIPE - 70342
215.87 - 28627    - CREATE - 
215.97 - 28627    - SEND_PIPE - 40320
215.99 - 28627    - EXIT - 0
216.19 - 28606    - RECV_PIPE - 40320
216.35 - 28628    - CREATE - 
216.47 - 28628    - SEND_PIPE - 111715
216.49 - 28628    - EXIT - 0
216.63 - 28606    - RECV_PIPE - 111715
216.79 - 28629    - CREATE - 
216.87 - 28629    - SEND_PIPE - 19797
216.89 - 28629    - EXIT - 0
217.02 - 28606    - RECV_PIPE - 19797
217.14 - 28630    - CREATE - 
217.23 - 28630    - SEND_PIPE - 32016
217.24 - 28630    - EXIT - 0
217.40 - 28606    - RECV_PIPE - 32016
217.54 - 28631    - CREATE - 
217.65 - 28631    - SEND_PIPE - 31822
217.67 - 28631    - EXIT - 0
217.84 - 28606    - RECV_PIPE - 31822
218.00 - 28632    - CREATE - 
218.10 - 28632    - SEND_PIPE - 26196
218.11 - 28632    - EXIT - 0
218.27 - 28606    - RECV_PIPE - 26196
218.61 - 28633    - CREATE - 
218.73 - 28633    - SEND_PIPE - 38447
218.75 - 28633    - EXIT - 0
219.01 - 28606    - RECV_PIPE - 38447
219.26 - 28634    - CREATE - 
219.39 - 28634    - SEND_PIPE - 32812
219.41 - 28634    - EXIT - 0
219.62 - 28606    - RECV_PIPE - 32812
219.86 - 28635    - CREATE - 
219.97 - 28635    - SEND_PIPE - 2857
219.99 - 28635    - EXIT - 0
220.20 - 28606    - RECV_PIPE - 2857
220.40 - 28636    - CREATE - 
220.54 - 28636    - SEND_PIPE - 3296
220.56 - 28636    - EXIT - 0
220.73 - 28606    - RECV_PIPE - 3296
220.94 - 28637    - CREATE - 
221.05 - 28637    - SEND_PIPE - 21603
221.08 - 28637    - EXIT - 0
221.23 - 28606    - RECV_PIPE - 21603
221.37 - 28638    - CREATE - 
221.47 - 28638    - SEND_PIPE - 1772
221.48 - 28638    - EXIT - 0
221.62 - 28606    - RECV_PIPE - 1772
221.75 - 28639    - CREATE - 
221.84 - 28639    - SEND_PIPE - 8434
221.85 - 28639    - EXIT - 0
222.05 - 28606    - RECV_PIPE - 8434
222.23 - 28640    - CREATE - 
222.34 - 28640    - SEND_PIPE - 33279
222.36 - 28640    - EXIT - 0
222.76 - 28606    - RECV_PIPE - 33279
223.13 - 28641    - CREATE - 
223.34 - 28641    - SEND_PIPE - 26116
